home_team,away_team,result,home_lineup,away_lineup
Liverpool,Stoke City,tie,Pepe Reina - Glen Johnson - José Enrique - Sebastián Coates - Jamie Carragher - Martin Skrtel - Steven Gerrard - Jordan Henderson - Dirk Kuyt - Stewart Downing - Charlie Adam - ,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Jonathan Woodgate - Glenn Whelan - Wilson Palacios - Rory Delap - Matthew Etherington - Jonathan Walters - Peter Crouch - 
Manchester United,Bolton Wanderers,home,Anders Lindegaard - Rafael - Patrice Evra - Rio Ferdinand - Jonny Evans - Michael Carrick - Nani - Paul Scholes - Luis Antonio Valencia - Wayne Rooney - Danny Welbeck - ,Adam Bogdan - Grétar Steinsson - Zat Knight - Sam Ricketts - David Wheater - Fabrice Muamba - Chris Eagles - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - 
Tottenham Hotspur,Wolverhampton Wanderers,tie,Brad Friedel - Kyle Walker - Younes Kaboul - Michael Dawson - Benoit Assou-Ekotto - Scott Parker - Aaron Lennon - Rafael van der Vaart - Gareth Bale - Luka Modric - Emmanuel Adebayor - ,Wayne Hennessey - Roger Johnson - Christophe Berra - Kevin Foley - David Edwards - Michael Kightly - Karl Henry - Stephen Ward - Emmanuel Frimpong - Matthew Jarvis - Steven Fletcher - 
West Bromwich Albion,Norwich City,away,Ben Foster - Gonzalo Jara - Nicky Shorey - Gareth McAuley - Craig Dawson - James Morrison - Jerome Thomas - Youssouf Mulumbu - Paul Scharner - Peter Odemwingie - Simon Cox - ,John Ruddy - Russell Martin - Zak Whitbread - Kyle Naughton - Daniel Ayala - Bradley Johnson - Anthony Pilkington - Wes Hoolahan - Andrew Surman - Simeon Jackson - Steve Morison - 
Newcastle United,Queens Park Rangers,home,Tim Krul - Fabricio Coloccini - Davide Santon - Ryan Taylor - Danny Simpson - Mike Williamson - Yohan Cabaye - Danny Guthrie - Jonás Gutiérrez - Leon Best - Shola Ameobi - ,Paddy Kenny - Danny Gabbidon - Clint Hill - Luke Young - Anton Ferdinand - Shaun Derry - Shaun Wright-Phillips - Jamie Mackie - Ákos Buzsáky - Heidar Helguson - Jay Bothroyd - 
Swansea City,Arsenal,home,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Kemy Agustien - Danny Graham - Scott SinclairPen. Scored - ,Wojciech Szczesny - Per Mertesacker - Laurent Koscielny - Johan Djourou - Ignasi Miquel - Aaron Ramsey - Theo Walcott - Alexandre Song - Andrey Arshavin - Yossi Benayoun - Robin van Persie - 
Wigan Athletic,Manchester City,away,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Ronnie Stam - Maynor Figueroa - James McCarthy - Albert Crusat - Victor Moses - Jordi Gómez - James McArthur - Hugo Rodallega - ,Joe Hart - Pablo Zabaleta - Joleon Lescott - Stefan Savic - Gaël Clichy - James Milner - Samir Nasri - Gareth Barry - David Silva - Sergio Agüero - Edin Dzeko - 
Bolton Wanderers,Liverpool,home,Adam Bogdan - Grétar Steinsson - Zat Knight - Sam Ricketts - David Wheater - Fabrice Muamba - Chris Eagles - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Steven Gerrard - Maxi Rodríguez - Jordan Henderson - Charlie Adam - Andy Carroll - Craig Bellamy - 
Everton,Blackburn Rovers,tie,Tim Howard - Leighton Baines - John Heitinga - Shane Duffy - Darron Gibson - Tim Cahill - Phil Neville - Marouane Fellaini - Landon Donovan - Louis Saha - Victor Anichebe - ,Paul Robinson - Martin Olsson - Scott Dann - Gaël Givet - Jason Lowe - David Dunn - Radosav Petrovic - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - David Goodwillie - 
Fulham,Newcastle United,home,David Stockdale - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Steve Sidwell - Danny MurphyPen. Scored - Damien Duff - Clint Dempsey   - Bryan Ruiz - Bobby ZamoraPen. Scored - ,Tim Krul - Fabricio Coloccini - Davide Santon - Danny Simpson - Mike Williamson - Yohan Cabaye - Danny Guthrie  - Hatem Ben Arfa - Jonás Gutiérrez - Leon Best - Shola Ameobi - 
Norwich City,Chelsea,tie,John Ruddy - Russell Martin - Zak Whitbread - Kyle Naughton - Daniel Ayala - Bradley Johnson - Anthony Pilkington - David Fox - Andrew Surman - Grant Holt - Steve Morison - ,Petr Cech - Ashley Cole - David Luiz - José Bosingwa - John Terry - Ramires - Frank Lampard - Raul Meireles - Fernando Torres - Juan Mata - Daniel Sturridge - 
Queens Park Rangers,Wigan Athletic,home,Paddy Kenny - Fitz Hall - Clint Hill - Luke Young - Anton Ferdinand - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Ákos Buzsáky - Heidar HelgusonPen. Scored - DJ Campbell - ,Ali Al Habsi - Steve Gohouri - Gary Caldwell - Emmerson Boyce - Maynor Figueroa - James McCarthy - Ben Watson - Victor Moses - Jordi Gómez - James McArthur - Hugo Rodallega - 
Stoke City,West Bromwich Albion,away,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Ryan Shotton - Jonathan Woodgate - Glenn Whelan - Rory Delap - Matthew Etherington - Jonathan Walters - Peter Crouch - ,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Gabriel Tamas - James Morrison - Jerome Thomas - Graham Dorrans - Youssouf Mulumbu - Simon Cox - Marc-Antoine Fortuné - 
Sunderland,Swansea City,home,Simon Mignolet - Phil Bardsley - Wes Brown - John O'Shea - Lee Cattermole - Sebastian Larsson - Kieran Richardson - David Vaughan - James McClean - Stéphane Sessegnon - Nicklas Bendtner - ,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Gylfi Sigurdsson - Danny Graham - Scott Sinclair - 
Wolverhampton Wanderers,Aston Villa,away,Wayne Hennessey - Roger Johnson - Christophe Berra - Kevin Foley - David Edwards - Michael Kightly  - Karl Henry - Stephen Ward - Emmanuel Frimpong - Matthew Jarvis - Steven Fletcher - ,Shay Given - Richard Dunne - James Collins - Ciaran Clark - Alan Hutton - Marc Albrighton - Stiliyan Petrov - Gary Gardner - Gabriel Agbonlahor - Robbie Keane  - Darren BentPen. Scored - 
Arsenal,Manchester United,away,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Johan Djourou - Tomas Rosicky - Aaron Ramsey - Theo Walcott - Alex Oxlade-Chamberlain - Alexandre Song - Robin van Persie  - ,Anders Lindegaard - Patrice Evra - Phil Jones - Jonny Evans - Chris Smalling - Ryan Giggs - Michael Carrick - Nani - Luis Antonio Valencia - Wayne Rooney - Danny Welbeck - 
Manchester City,Tottenham Hotspur,home,Joe Hart - Micah Richards - Joleon Lescott - Stefan Savic - Gaël Clichy - James Milner - Samir Nasri - Gareth Barry - David Silva - Edin Dzeko - Sergio Agüero - ,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Aaron Lennon - Rafael van der Vaart - Gareth Bale - Luka Modric - Jermain Defoe - 
Everton,Manchester City,home,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Darron Gibson - Royston Drenthe - Tim Cahill - Phil Neville - Marouane Fellaini - Landon Donovan - Denis Stracqualursi - ,Joe Hart - Micah Richards - Vincent Kompany - Joleon Lescott - Gaël Clichy - James Milner - Samir Nasri - Gareth Barry - David Silva - Edin Dzeko - Sergio Agüero - 
Manchester United,Stoke City,home,Ben Amos - Patrice Evra - Rio Ferdinand - Jonny Evans - Chris Smalling - Park Ji-Sung - Michael Carrick - Paul Scholes - Luis Antonio Valencia - Dimitar BerbatovPen. Scored - ChicharitoPen. Scored - ,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Andy Wilkinson - Jermaine Pennant - Wilson Palacios - Dean Whitehead - Kenwyne Jones - Jonathan Walters - Peter Crouch - 
Swansea City,Chelsea,tie,Michel Vorm - Neil Taylor Own  - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Gylfi Sigurdsson - Danny Graham - Scott Sinclair - ,Petr Cech - Branislav Ivanovic - Ashley Cole  - David Luiz - José Bosingwa - Oriol Romeu - Florent Malouda - Raul Meireles - Fernando Torres - Juan Mata - Daniel Sturridge - 
Tottenham Hotspur,Wigan Athletic,home,Brad Friedel - Kyle Walker - Younes Kaboul - Ledley King - Benoit Assou-Ekotto - Scott Parker - Rafael van der Vaart - Gareth Bale  - Luka Modric - Niko Kranjcar - Emmanuel Adebayor - ,Ali Al Habsi - Gary Caldwell - Emmerson Boyce - Ronnie Stam - Maynor Figueroa - James McCarthy - Ben Watson - Victor Moses - Jordi Gómez - Jean Beausejour - Franco Di Santo - 
Wolverhampton Wanderers,Liverpool,away,Wayne Hennessey - Roger Johnson - Christophe Berra - Kevin Foley - David Edwards - Michael Kightly - Stephen Ward - Emmanuel Frimpong - Matthew Jarvis - Eggert Jónsson - Steven Fletcher - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Jordan Henderson - Dirk Kuyt - Jay Spearing - Charlie Adam - Andy Carroll - Craig Bellamy  - 
Aston Villa,Queens Park Rangers,tie,Shay Given - Stephen WarnockOwn  - Richard Dunne - Ciaran Clark - Carlos Cuellar - Alan Hutton - Stiliyan Petrov - Charles N'Zogbia - Stephen Ireland - Robbie Keane - Darren Bent - ,Paddy Kenny - Nedum Onuoha - Luke Young - Taye Taiwo - Anton Ferdinand - Shaun Derry - Joey Barton - Shaun Wright-Phillips - Jamie Mackie - Djibril Cissé - Robert Hulse - 
Blackburn Rovers,Newcastle United,away,Paul Robinson - Martin Olsson - Scott DannOwn  - Gaël Givet - Jason Lowe - David Dunn - Radosav Petrovic - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Anthony Modeste - ,Tim Krul - Fabricio Coloccini - Davide Santon - Ryan Taylor - Danny Simpson - Mike Williamson - Danny Guthrie - Hatem Ben Arfa - Jonás Gutiérrez - Leon Best - Shola Ameobi - 
Bolton Wanderers,Arsenal,tie,Adam Bogdan - Grétar Steinsson - Zat Knight - Sam Ricketts - David Wheater - Fabrice Muamba - Chris Eagles - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - ,Wojciech Szczesny - Bacary Sagna - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Aaron Ramsey - Mikel Arteta - Theo Walcott - Alex Oxlade-Chamberlain - Alexandre Song - Robin van Persie - 
Fulham,West Bromwich Albion,tie,David Stockdale - Stephen Kelly - John Arne Riise - Philippe Senderos - Brede Hangeland - Steve Sidwell - Danny Murphy - Damien Duff - Clint Dempsey - Simon Davies - Bryan Ruiz - ,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Gabriel Tamas - James Morrison - Graham Dorrans - Youssouf Mulumbu - Peter Odemwingie - Simon Cox - Marc-Antoine Fortuné - 
Sunderland,Norwich City,home,Simon Mignolet - Phil Bardsley - Michael Turner - John O'Shea - Sebastian Larsson - Craig Gardner - Kieran Richardson - Jack Colback - James McClean - Stéphane Sessegnon - Fraizer Campbell - ,John Ruddy - Russell Martin - Zak Whitbread - Kyle Naughton - Daniel AyalaOwn  - Bradley Johnson - Andrew Crofts - Wes Hoolahan - Andrew Surman - Grant Holt - Steve Morison - 
Arsenal,Blackburn Rovers,home,Wojciech Szczesny - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Tomas Rosicky - Mikel Arteta - Theo Walcott - Alex Oxlade-Chamberlain  - Alexandre Song - Francis Coquelin - Robin van Persie   - ,Paul Robinson - Martin Olsson - Scott DannOwn  - Gaël Givet - Jason Lowe - David Dunn - Radosav Petrovic - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Anthony Modeste - 
Manchester City,Fulham,home,Joe Hart - Micah Richards - Joleon Lescott - Aleksandar Kolarov - Stefan Savic - Samir Nasri - Adam Johnson - Gareth Barry - David Silva - Sergio AgüeroPen. Scored - Edin Dzeko - ,Mark Schwarzer - Stephen Kelly - Philippe Senderos - Brede Hangeland - Chris BairdOwn   - Danny Murphy - Damien Duff - Dickson Etuhu - Clint Dempsey - Simon Davies - Mousa Dembélé - 
Norwich City,Bolton Wanderers,home,John Ruddy - Adam Drury - Zak Whitbread - Kyle Naughton - Daniel Ayala - Anthony Pilkington - Wes Hoolahan - David Fox - Andrew Surman - Grant Holt - Simeon Jackson - ,Adam Bogdan - Tyrone Mears - Zat Knight - Sam Ricketts - David Wheater - Fabrice Muamba - Chris Eagles - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - 
Queens Park Rangers,Wolverhampton Wanderers,away,Paddy Kenny - Nedum Onuoha - Luke Young - Taye Taiwo - Anton Ferdinand - Shaun Derry - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Djibril Cissé - Bobby Zamora - ,Wayne Hennessey - Roger Johnson - Richard Stearman - Sebastien Bassong - Kevin Foley - David Edwards - Stephen Ward - Emmanuel Frimpong - Matthew Jarvis - Jamie O'Hara - Steven Fletcher - 
Stoke City,Sunderland,away,Thomas Sørensen - Robert Huth - Marc Wilson - Ryan Shawcross - Andy Wilkinson - Glenn Whelan - Jermaine Pennant - Rory Delap - Jonathan Walters - Peter Crouch - Cameron Jerome - ,Simon Mignolet - Phil Bardsley - Michael Turner - John O'Shea - Sebastian Larsson - Craig Gardner - Kieran Richardson - Jack Colback - David Meyler - James McClean - Stéphane Sessegnon - 
West Bromwich Albion,Swansea City,away,Ben Foster - Jonas Olsson - Nicky Shorey - Gareth McAuley - Steven Reid - James Morrison - Jerome Thomas - Graham Dorrans - Youssouf Mulumbu - Peter Odemwingie - Marc-Antoine Fortuné - ,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Joe Allen - Gylfi Sigurdsson - Danny Graham - Scott Sinclair - 
Wigan Athletic,Everton,tie,Ali Al Habsi - Gary Caldwell - Emmerson Boyce - Ronnie Stam - Maynor Figueroa - James McCarthy - Victor Moses - Jordi Gómez - James McArthur - Jean Beausejour - Franco Di Santo - ,Tim Howard - Tony Hibbert - Leighton Baines - John Heitinga - Sylvain Distin - Darron Gibson - Tim Cahill - Steven Pienaar - Marouane Fellaini - Landon Donovan - Denis Stracqualursi - 
Chelsea,Manchester United,tie,Petr Cech - Branislav Ivanovic - David Luiz - José Bosingwa - Gary Cahill - Michael Essien - Florent Malouda - Raul Meireles - Fernando Torres - Juan Mata - Daniel Sturridge - ,David de Gea - Rafael - Patrice Evra - Rio Ferdinand - Jonny EvansOwn  - Ryan Giggs - Michael Carrick - Ashley Young - Luis Antonio Valencia - Wayne RooneyPen. Scored Pen. Scored - Danny Welbeck - 
Newcastle United,Aston Villa,home,Tim Krul - Fabricio Coloccini - Davide Santon - Ryan Taylor - Danny Simpson - Mike Williamson - James Perch - Danny Guthrie - Jonás Gutiérrez - Demba Ba - Leon Best - ,Shay Given - Stephen Warnock - Richard Dunne - Ciaran Clark - Carlos Cuellar - Alan Hutton - Stiliyan Petrov - Charles N'Zogbia - Stephen Ireland - Robbie Keane - Darren Bent - 
Liverpool,Tottenham Hotspur,tie,Pepe Reina - Glen Johnson - Daniel Agger - Martin Kelly - Martin Skrtel - Steven Gerrard - Dirk Kuyt - Jay Spearing - Charlie Adam - Andy Carroll - Craig Bellamy - ,Brad Friedel - Kyle Walker - Michael Dawson - Ledley King - Benoit Assou-Ekotto - Scott Parker - Gareth Bale - Luka Modric - Niko Kranjcar - Jake Livermore - Emmanuel Adebayor - 
Blackburn Rovers,Queens Park Rangers,home,Paul Robinson - Martin Olsson - Grant Hanley - Scott Dann - Bradley Orr - Jason Lowe - Morten Gamst Pedersen - Steven Nzonzi - David Junior Hoilett - Mauro Formica - Yakubu - ,Paddy Kenny - Armand Traore - Nedum OnuohaOwn  - Fitz Hall - Taye Taiwo - Anton Ferdinand - Joey Barton - Adel Taarabt - Shaun Wright-Phillips - Ákos Buzsáky - Bobby Zamora - 
Bolton Wanderers,Wigan Athletic,away,Adam Bogdan - Grétar Steinsson - Zat Knight - Sam Ricketts - David Wheater - Chris Eagles - Martin Petrov - Mark Davies - Nigel Reo-Coker - David N'Gog - Kevin Davies - ,Ali Al Habsi - Antolín Alcaraz - Gary Caldwell - Emmerson Boyce - Maynor Figueroa - James McCarthy - Victor Moses - Jordi Gómez - James McArthur - Jean Beausejour - Franco Di Santo - 
Everton,Chelsea,home,Tim Howard - Leighton Baines - John Heitinga - Sylvain Distin - Darron Gibson - Tim Cahill - Phil Neville - Steven Pienaar - Marouane Fellaini - Landon Donovan - Denis Stracqualursi - ,Petr Cech - Branislav Ivanovic - Ashley Cole - David Luiz - José Bosingwa - Michael Essien - Frank Lampard - Raul Meireles - Fernando Torres - Juan Mata - Daniel Sturridge - 
Fulham,Stoke City,home,Mark Schwarzer - Stephen Kelly - John Arne Riise - Brede Hangeland - Aaron Hughes - Danny Murphy - Damien Duff - Clint Dempsey - Pavel Pogrebnyak - Bryan Ruiz - Mousa Dembélé - ,Thomas SørensenOwn  - Marc Wilson - Ryan Shawcross - Matt Upson - Andy Wilkinson - Glenn Whelan - Wilson Palacios - Matthew Etherington - Kenwyne Jones - Jonathan Walters - Peter Crouch - 
Manchester United,Liverpool,home,David de Gea - Rafael - Patrice Evra - Rio Ferdinand - Jonny Evans - Ryan Giggs - Michael Carrick - Paul Scholes - Luis Antonio Valencia - Wayne Rooney  - Danny Welbeck - ,Pepe Reina - Glen Johnson - José Enrique - Daniel Agger - Martin Skrtel - Steven Gerrard - Jordan Henderson - Dirk Kuyt - Stewart Downing - Jay Spearing - Luis Suárez - 
Sunderland,Arsenal,away,Simon Mignolet - Phil Bardsley - Michael Turner - John O'Shea - Sebastian Larsson - Craig Gardner - Kieran Richardson - Jack Colback - James McClean - Stéphane Sessegnon - Fraizer Campbell - ,Wojciech Szczesny - Bacary Sagna - Per Mertesacker - Thomas Vermaelen - Laurent Koscielny - Tomas Rosicky - Mikel Arteta - Theo Walcott - Alex Oxlade-Chamberlain - Alexandre Song - Robin van Persie - 
Tottenham Hotspur,Newcastle United,home,Brad Friedel - Kyle Walker - Michael Dawson - Ledley King - Benoit Assou-Ekotto - Scott Parker - Gareth Bale - Luka Modric - Niko Kranjcar - Emmanuel Adebayor - Louis Saha  - ,Tim Krul - Fabricio Coloccini - Davide Santon - Danny Simpson - Mike Williamson - James Perch - Danny Guthrie - Gabriel Obertan - Jonás Gutiérrez - Papiss Demba Cissé - Demba Ba - 
Aston Villa,Manchester City,away,Shay Given - Richard Dunne - James Collins - Carlos Cuellar - Alan Hutton - Marc Albrighton - Stiliyan Petrov - Gary Gardner - Emile Heskey - Robbie Keane - Darren Bent - ,Joe Hart - Vincent Kompany - Pablo Zabaleta - Joleon Lescott - Aleksandar Kolarov - James Milner - Adam Johnson - Gareth Barry - David Silva - Nigel de Jong - Sergio Agüero - 
Wolverhampton Wanderers,West Bromwich Albion,away,Wayne Hennessey - Roger Johnson - Sebastien Bassong - Kevin Foley - David Edwards - Stephen Ward - Matthew Jarvis - Jamie O'Hara - Sylvan Ebanks-Blake - Steven Fletcher - Kevin Doyle - ,Ben Foster - Jonas Olsson - Liam Ridgewell - Gareth McAuley - Steven Reid - James Morrison - Jerome Thomas - Youssouf Mulumbu - Paul Scharner - Peter Odemwingie   - Marc-Antoine Fortuné - 
Swansea City,Norwich City,away,Michel Vorm - Neil Taylor - Steven Caulker - Ashley Williams - Angel Rangel - Leon Britton - Nathan Dyer - Josh McEachran - Gylfi Sigurdsson - Danny Graham Pen. Scored - Scott Sinclair - ,John Ruddy - Adam Drury - Russell Martin - Elliott Ward - Kyle Naughton - Anthony Pilkington - Elliott Bennett - David Fox - Andrew Surman - Grant Holt   - Simeon Jackson - 
Chelsea,Bolton Wanderers,home,Petr Cech - Branislav Ivanovic - Ashley Cole - David Luiz - Gary Cahill - Michael Essien - Ramires - Frank Lampard - Juan Mata - Didier Drogba - Daniel Sturridge - ,Adam Bogdan - Grétar Steinsson - Tim Ream - Sam Ricketts - David Wheater - Fabrice Muamba - Nigel Reo-Coker - Darren Pratley - Ryo Miyaichi - David N'Gog - Tuncay Sanli - 
Manchester City,Blackburn Rovers,home,Joe Hart - Vincent Kompany - Pablo Zabaleta - Joleon Lescott - Aleksandar Kolarov - Adam Johnson - David Silva - Nigel de Jong - Yaya Touré - Sergio Agüero - Mario Balotelli - ,Paul Robinson - Martin Olsson - Grant Hanley - Scott Dann - Bradley Orr - Radosav Petrovic - Morten Gamst Pedersen - Marcus Olsson - David Junior Hoilett - Mauro Formica - Yakubu - 
